366811580,2023-01-01T00:01:16,36.9258,-76.34128,0.3,273.4,511,MISS CATE,IMO8503448,WDF9186,31,15,29,9,3.3,52,A,Towing,Towing,No,Not defined 
368926258,2023-01-01T00:01:16,39.26695,-76.57952,0,249.5,511,CATLETT,,AESZ,33,15,19,7,0,33,A,Dredging or underwater ops,Dredging,No,Not defined 
368006020,2023-01-01T00:01:17,36.93083,-76.33356,0,306.2,22,ROSEMARY MCALLISTER,IMO9813644,WDJ7366,95,15,35,13,0,95,A,"Other Type, Reserved for future use",Other,No,Not defined 
367093970,2023-01-01T00:01:18,37.65899,-76.4411,0,307.3,511,CAPT STEVE,,WYB7050,31,15,17,6,,52,A,Towing,Towing,No,Not defined 
367098070,2023-01-01T00:01:20,39.22568,-76.58034,0,275.3,293,GULF COAST,,WDC9139,31,15,28,9,,52,A,Towing,Towing,No,Not defined 
367572040,2023-01-01T00:01:25,36.99313,-76.20156,6.2,286.8,291,NA HOKU,IMO8973904,WDG7908,31,15,32,10,5,52,A,Towing,Towing,No,Not defined 
367732690,2023-01-01T00:01:26,39.57289,-75.58996,0,360,511,KATIE LYNN,,WDI7836,60,15,13,5,0,60,A,"Passenger, all ships of this type",Passenger,No,Not defined 
367097970,2023-01-01T00:01:27,39.2433,-76.57112,0,178.9,511,CRYSTAL COAST,,WDC9132,31,15,20,7,,52,A,Towing,Towing,No,Not defined 
368076430,2023-01-01T00:01:27,36.79932,-76.29549,0,360,354,CAPE MAY,,WDK6628,31,15,30,10,0,31,A,Towing,Towing,No,Not defined 
367772272,2023-01-01T00:02:12,37.829,-76.27899,0,360,511,COCKRELLS CREEK,IMO7807512,WDJ3877,30,15,54,12,0,30,A,Fishing,Fishing,No,Not defined 
366948310,2023-01-01T00:02:19,36.83868,-76.29134,0,203.7,330,FORT PIKE,,WAA9418,31,15,19,7,,52,A,Towing,Towing,No,Not defined 
367772250,2023-01-01T00:02:20,37.82852,-76.27855,0,360,511,WINDMILL POINT,IMO8305511,WDJ3875,90,15,56,11,3.6,30,A,"Other Type, all ships of this type",Other,No,Not defined 
368869000,2023-01-01T00:02:20,36.91633,-76.17275,0,148.2,511,USS O'KANE,,NOKN,90,15,154,20,9.4,35,A,"Other Type, all ships of this type",Other,No,Not defined 
366878290,2023-01-01T00:02:21,36.85926,-76.34515,0,190.2,511,RAM XV,IMO8767305,WDB2653,90,15,33,19,2.1,95,A,"Other Type, all ships of this type",Other,No,Not defined 
367379670,2023-01-01T00:02:22,39.21442,-76.5734,0,235.3,511,REID MCALLISTER,IMO9549530,WDE6394,31,15,23,10,,90,A,Towing,Towing,No,Not defined 
367176730,2023-01-01T00:02:24,36.98443,-76.1564,0.1,166.3,104,WEEKS 506,,WYZ8185,90,15,48,18,,33,A,"Other Type, all ships of this type",Other,No,Not defined 
367163370,2023-01-01T00:02:25,36.84268,-76.26747,0,231.7,511,SMUGGLER'S POINT,IMO8942759,WDD5770,30,15,53,9,,30,A,Fishing,Fishing,No,Not defined 
368172490,2023-01-01T00:02:25,36.90681,-76.08875,0,221.1,511,SUSQUEHANNA,,WDL8747,50,15,18,6,0,50,A,Pilot Vessel,Pilot Vessel,No,Not defined 
368199810,2023-01-01T00:02:25,36.96439,-76.41194,0,360,511,CAROLINE,,WMD3715,52,15,0,0,0,52,A,Tug,Tug,No,Not defined 
368926258,2023-01-01T00:02:25,39.26695,-76.57952,0,249.5,511,CATLETT,,AESZ,33,15,19,7,0,33,A,Dredging or underwater ops,Dredging,No,Not defined 
367711530,2023-01-01T00:02:27,36.90691,-76.08932,0,11.7,511,CAPE CHARLES,,WDI5730,90,15,11,4,,50,A,"Other Type, all ships of this type",Other,No,Not defined 
367732690,2023-01-01T00:02:27,39.5729,-75.58995,0,360,511,KATIE LYNN,,WDI7836,60,15,13,5,0,60,A,"Passenger, all ships of this type",Passenger,No,Not defined 
368006020,2023-01-01T00:02:27,36.93082,-76.33357,0,306.2,22,ROSEMARY MCALLISTER,IMO9813644,WDJ7366,95,15,35,13,0,95,A,"Other Type, Reserved for future use",Other,No,Not defined 
367093970,2023-01-01T00:02:29,37.659,-76.4411,0,311,511,CAPT STEVE,,WYB7050,31,15,17,6,,52,A,Towing,Towing,No,Not defined 
367098070,2023-01-01T00:02:29,39.22567,-76.58033,0,257.9,293,GULF COAST,,WDC9139,31,15,28,9,,52,A,Towing,Towing,No,Not defined 
